date,US-GLE,US-Ha1,US-Ho1,US-MtB,US-ONA,US-SRG,US-Whs
1981-01-01,4.3700004,-6.4500003,-11.52,12.620001,17.02,20.480001,17.210001
1981-01-02,1.7500001,-4.34,-8.29,10.55,20.93,21.410002,19.730001
1981-01-03,2.5400002,-2.94,-4.5400004,10.040001,17.11,20.34,18.230001
1981-01-04,2.7700002,-12.710001,-18.730001,10.950001,19.34,20.85,19.720001
1981-01-05,1.6500001,-18.94,-19.820002,10.3,20.34,19.150002,17.94
1981-01-06,-4.03,-7.8600006,-10.440001,9.490001,18.67,19.310001,18.070002
1981-01-07,0.47000003,-2.8600001,-2.3400002,6.17,21.61,15.630001,13.750001
1981-01-08,3.2800002,-1.1400001,0.63000005,5.07,22.420002,12.740001,9.490001
1981-01-09,2.24,-11.080001,-13.040001,5.6000004,17.08,15.040001,12.39
1981-01-10,-0.120000005,-9.3,-10.700001,9.43,18.53,15.9800005,13.900001
1981-01-11,-1.4900001,-6.6000004,-9.76,10.320001,17.650002,15.530001,11.960001
1981-01-12,-1.01,-15.040001,-13.580001,9.31,14.840001,11.8,10.530001
1981-01-13,3.0500002,-11.690001,-12.030001,5.1400003,8.84,10.39,8.160001
1981-01-14,1.47,-10.17,-13.290001,5.0600004,13.080001,11.56,10.39
1981-01-15,-0.91,-8.6,-7.4400005,5.4700003,18.12,15.510001,12.790001
1981-01-16,-5.0600004,-5.38,-5.9,5.5200005,24.050001,15.580001,13.740001
1981-01-17,-7.6800003,-5.5200005,-7.11,5.42,23.45,14.4800005,12.05
1981-01-18,-1.94,-7.8500004,-8.06,5.4300003,13.790001,11.05,6.7900004
1981-01-19,-2.25,-5.1200004,-5.21,6.15,13.900001,10.05,9.240001
1981-01-20,-2.38,3.7200003,1.4100001,9.540001,17.62,16.050001,14.030001
1981-01-21,-1.6,-0.44000003,-6.0600004,8.4800005,21.880001,16.720001,14.64
1981-01-22,3.16,-0.5,-5.2900004,8.46,21.52,15.330001,12.690001
1981-01-23,6.4600005,-0.2,-3.5100002,9.85,16.42,18.0,14.830001
1981-01-24,6.9700003,0.26000002,-2.24,10.71,17.68,18.160002,17.990002
1981-01-25,-0.71000004,-0.99000007,-1.4000001,7.8,16.16,17.0,17.300001
1981-01-26,-8.370001,0.17,-1.44,5.8700004,20.6,15.050001,13.660001
1981-01-27,-8.68,3.5200002,3.5500002,6.2300005,22.330002,14.280001,14.22
1981-01-28,-4.25,5.71,5.9600005,8.01,22.750002,14.290001,15.200001
1981-01-29,-1.13,1.8900001,-1.8500001,5.7300005,23.19,15.89,15.27
1981-01-30,-3.4,-5.4500003,-5.8500004,6.65,21.380001,16.16,15.27
1981-01-31,-2.3600001,-7.11,-7.1500006,3.9600003,24.340002,14.490001,15.800001
1981-02-01,-11.31,-1.0600001,-2.0,-1.9900001,23.460001,10.7300005,7.34
1981-02-02,-13.68,9.68,5.1600003,5.2900004,25.890001,11.900001,10.46
1981-02-03,-5.5600004,10.530001,9.2300005,9.370001,21.59,13.840001,12.650001
1981-02-04,-3.2600002,-6.5200005,-3.3700001,7.4200006,12.4800005,15.820001,13.690001
1981-02-05,-5.34,-8.830001,-7.1800003,6.2000003,16.390001,15.300001,13.790001
1981-02-06,-4.3900003,-8.6,-7.0400004,7.2400002,19.310001,16.03,14.7300005
1981-02-07,-5.4100003,-2.21,-3.64,6.9200006,24.210001,15.910001,14.6
1981-02-08,-8.39,1.22,0.32000002,7.1600003,26.660002,17.35,15.9800005
1981-02-09,-6.17,0.98,1.13,7.7500005,20.990002,16.630001,15.760001
1981-02-10,-5.0200005,-3.21,0.37,3.89,24.27,11.160001,9.690001
1981-02-11,-16.2,5.17,2.41,7.7000003,27.010002,13.72,11.6
1981-02-12,-4.7700005,14.590001,12.410001,9.4800005,27.920002,16.980001,15.880001
1981-02-13,-1.0600001,-6.59,-3.64,9.450001,17.990002,19.1,19.54
